name,product_id,is_outsourcing,product_code,quantity_product
Lưới màn 80G Black,1,0,1-LUOIMA-BLK-80-CM,6301.910000
Lưới màn 80G White,2,0,1-LUOIMA-WHI-80-CM,13742.730000
Lưới màn 80G Light White,3,0,1-LUOIMA-LWH-80-CM,4437.700000
Lưới màn mỏng 28G Black,4,0,1-LUOIMA-BLK-28-CM,3270.900000
Lưới màn mỏng 28G White,5,0,1-LUOIMA-WHI-28-CM,2324.080000
Vải 100% Cotton 59/60 Brick Red /Henna Bedford Cord,6,0,1-CO5960-BKR-00-CT,94.000000
Vải 100% Cotton 59/60 Fern/Moss Bedford Cord,7,0,1-CO5960-FER-00-CT,71.000000
Vải 100% Cotton 59/60 Midnight Blue  Bedford Cord,8,0,1-CO5960-MIB-00-CT,34.000000
Vải 100% Cotton EV-13-161217 FVG7033E Amethyst,9,0,1-CO7033-AMT-00-EW,228.210000
Vải 100% Cotton EV-13-161217 FVG7033E Black,10,0,1-CO7033-BLK-00-EW,353.670000
Vải 100% Cotton EV-13-161217 FVG7033E Cabernet,11,0,1-CO7033-CBN-00-EW,445.000000
Vải 100% Cotton EV-13-161217 FVG7033E Ebony,12,0,1-CO7033-EBN-00-EW,401.278500
Vải 100% Cotton EV-13-161217 FVG7033E Harbor Blue,13,0,1-CO7033-HBL-00-EW,315.900000
Vải 100% Cotton EV-13-161217 FVG7033E Limoges,14,0,1-CO7033-LMG-00-EW,174.770000
Vải 100% Cotton EV-13-161217 FVG7033E Pacific,15,0,1-CO7033-PAF-00-EW,411.660000
Vải 100% Cotton EV-13-161217 FVG7033E Peacoats,16,0,1-CO7033-PEC-00-EW,148.380001
Vải 100% Cotton EV-13-161217 FVG7033E River Blue,17,0,1-CO7033-RBL-00-EW,126.800000
Vải 100% Cotton EV-13-161217 FVG7033E Slate Black,18,0,1-CO7033-SBK-00-EW,476.000000
Vải 100% Cotton EV-13-161217 FVG7033E Surf The Wed,19,0,1-CO7033-STW-00-EW,0.000000
Vải 100% Cotton EV-13-161217 FVG7033E Viridian Green,20,0,1-CO7033-VGR-00-EW,307.800000
Vải 100% cotton GP-08317 Neo Navy (KHCC-SA),21,0,1-COTO01-NAV-00-SA,0.000000
Vải 100% cotton OG-05387D Black (KHCC-SA),22,0,1-COTO02-BLK-00-SA,0.000000
Vải 100% Cotton Seersucker Navy (KHCC-Ciele),23,0,1-COTO01-NAV-00-CI,80.000000
Vải 100% Cotton Seersucker Navy (KHCC-Ciele) ép lưới màn 28G Black,24,1,1-COTO01-NAV-L4-CI,0.000000
Vải 100% Cotton Seersucker Navy (KHCC-Ciele) ép lưới màn 80G Black,25,1,1-COTO01-NAV-L2-CI,0.000000
Vải Cotton 65/35 Fuchia (KHCC-GF),26,0,1-COTO01-FSH-00-GF,13.500000
Vải Cotton 65/35 Fuchia (KHCC-GF) ép lưới màn 80G White,27,1,1-COTO01-FSH-L1-GF,37.700000
Vải Cotton Brown,28,0,1-COTTON-BRO-00-AK,0.000000
Vải Cotton Burgundy số 49 (19-1724 TCX),29,0,1-COVAC0-BGD-00-HV,293.270000
Vải Cotton Burgundy số 49 (19-1724 TCX) ép lưới màn 80G Black,30,1,1-COVAC0-BGD-L2-HV,1.900000
Vải Cotton Camo (TTD-210602-Mid West Camo),31,0,1-COCM00-000-00-AK,0.000000
Vải Cotton Camo 5,32,0,1-COCM05-CMO-00-AK,0.000000
Vải Cotton Camo số 8,33,0,1-COCA08-CMO-00-AK,0.000000
Vải Cotton Camo số 9,34,0,1-COCAM9-CMO-00-AK,0.000000
Vải Cotton Fuchsia,36,0,1-COTTON-FSH-00-AK,0.000000
Vải Cotton Graphite (KHCC-AD),37,0,1-COTO01-GRP-00-AD,18.200000
