product_id,order_id,product_code,order_status,position,total_quota,complete_order
77,1,1-CVAC04-SCA-L2-HV,completed,Mặt phải,6.562500,1
124,1,1-CVAC12-ROL-L2-IW,completed,Mặt trái,6.562500,1
74,1,1-CVAC04-SCA-00-HV,completed,Hông phải+nút,6.720000,1
122,1,1-CVAC12-ROL-00-IW,completed,Hông trái,6.400000,1
74,1,1-CVAC04-SCA-00-HV,completed,Đuôi phải,7.828000,1
122,1,1-CVAC12-ROL-00-IW,completed,Đuôi trái,7.828000,1
122,1,1-CVAC12-ROL-00-IW,completed,Két trên,11.312000,1
122,1,1-CVAC12-ROL-00-IW,completed,Két dưới,10.706000,1
74,1,1-CVAC04-SCA-00-HV,completed,Dây khóa,4.000000,1
7488,1,4-CVAC06-BLK-A0-35,completed,Đai,309.000000,1
8162,1,4-NYLOIN-BLK-N0-28,completed,Viền,808.750000,1
3983,1,5-DAFELT-BLK-07-TA,completed,Dây size,303.000000,1
7548,1,3-NH9454-BLK-23-CY,completed,Két nhựa,500.000000,1
2348,1,2-M83200-BLK-00-DI,completed,Keo Mặt,16.500000,1
6580,1,9-NS3C02-000-00-NT,completed,Nút sắt,500.000000,1
6603,1,9-GDTHMB-BLK-20-AN,completed,Gai dính bông,45.000000,1
6604,1,9-GDTHMG-BLK-20-AN,completed,Gai dính xù,45.000000,1
4350,1,8-BF0060-000-DE-TL,completed,Nhãn đai,500.000000,1
3351,1,7-CM3822-RED-50-PP,completed,Chỉ may Chóp phải,1.500000,1
3484,1,7-CM7382-BLU-50-PP,completed,"Chỉ may Chóp trái, Két",4.000000,1
5948,1,7-CM0BLK-BLK-50-PP,completed,Chỉ may đai viền,5.000000,1
6187,1,7-CMCUOC-WHI-00-AK,completed,Chỉ diễu chân nón,1.000000,1
6609,1,9-L02680-400-00-TA,completed,Giấy lót nón,500.000000,1
6731,1,9-B03680-WHI-00-HN,completed,Bao nylon,20.000000,1
6587,1,9-HCHOAM-000-00-NP,completed,Hút ẩm,20.000000,1
8225,1,9-X44317-Y00-5L-BN,completed,Thùng,5.000000,1
6605,1,9-GDTHMB-WHI-20-AN,completed,Gai dính bông,45.000000,1
6606,1,9-GDTHMG-WHI-20-AN,completed,Gai dính gai,45.000000,1
1999,2,1-L31014-BLK-L2-DD,completed,Mặt,1.500000,1
1997,2,1-L31014-BLK-00-DD,completed,Hông,1.400000,1
1997,2,1-L31014-BLK-00-DD,completed,Đuôi,1.700000,1
1999,2,1-L31014-BLK-L2-DD,completed,Két trên,1.300000,1
1999,2,1-L31014-BLK-L2-DD,completed,Két dưới,1.200000,1
7764,2,4-CVAC06-BLK-I0-35,completed,Đai,32.100000,1
8049,2,4-KATEIN-BLK-N0-28,completed,Viền,81.300000,1
7554,2,3-NH950V-BLK-23-CY,completed,Két nhựa,51.000000,1
6580,2,9-NS3C02-000-00-NT,completed,Nút sắt,51.000000,1
3983,2,5-DAFELT-BLK-07-TA,completed,Dây size,32.100000,1
2346,2,2-GANXAM-GRY-00-WW,completed,Keo dựng mặt,1.600000,1
2404,2,6-NH7000-BLK-00-WW,completed,Khóa,51.000000,1
4382,2,8-BF0092-000-00-TL,completed,Nhãn,51.000000,1
5948,2,7-CM0BLK-BLK-50-PP,completed,Chỉ may,0.500000,1
6609,2,9-L02680-400-00-TA,completed,Giấy lót nón,51.000000,1
6731,2,9-B03680-WHI-00-HN,completed,Bao nylon,2.000000,1
8225,2,9-X44317-Y00-5L-BN,completed,Thùng lớn,0.500000,1
