position,total_quota,parent_product,order_code,product_code,order_quota
Chóp,50.000000,10331,PANAMA-NC465-FireBrick-S-PO83499,8-INPL36-464-45-NC,0.100000
Đỉnh,100.000000,10330,PANAMA-NC465-FireBrick-S-PO83499,8-INPL35-NAI-DU-NC,0.200000
Chóp,50.000000,10330,PANAMA-NC465-DarkMagenta-M-PO83499,8-INPL35-NAI-DU-NC,0.100000
Đỉnh,100.000000,10331,PANAMA-NC465-DarkMagenta-M-PO83499,8-INPL36-464-45-NC,0.200000
Đỉnh,100.000000,10331,PANAMA-NC465-DarkSlateBlue-L-PO83499,8-INPL36-464-45-NC,0.200000
Chóp,250.000000,10330,PANAMA-NC465-DarkSlateBlue-L-PO83499,8-INPL35-NAI-DU-NC,0.500000
test 1,50.000000,10312,PANAMA-NC465-blue-L-POpo02,7-INPL17-BBT-W2-YK,0.500000
test 2,60.000000,10328,PANAMA-NC465-blue-L-POpo02,7-INPL31-466-W2-NC,0.600000
test 3,60.000000,10329,PANAMA-NC465-blue-L-POpo02,7-INPL32-466-WS-EW,0.600000
test 1,50.000000,10312,PANAMA-NC465-red-xl-POpo01,7-INPL17-BBT-W2-YK,0.500000
test 2,60.000000,10328,PANAMA-NC465-red-xl-POpo01,7-INPL31-466-W2-NC,0.600000
test 3,60.000000,10329,PANAMA-NC465-red-xl-POpo01,7-INPL32-466-WS-EW,0.600000
"Mặt, hông trên, hông dưới & đỉnh",47.790000,10265,NXK-BLACK-01295-VM-BurlyWood-M-POSRVV,9-DUONGC-BBT-W2-FT,0.081000
Két trên,295.000000,10264,NXK-BLACK-01295-VM-BurlyWood-M-POSRVV,5-DUONGB-BBT-DK-FT,0.500000
Viền két,153.400000,10263,NXK-BLACK-01295-VM-BurlyWood-M-POSRVV,5-DUONGA-BBT-DK-FT,0.260000
Két dưới,1032.500000,10262,NXK-BLACK-01295-VM-BurlyWood-M-POSRVV,5-DUONGG-BBT-L8-FT,1.750000
Phối đỉnh,94.400000,10178,NXK-BLACK-01295-VM-BurlyWood-M-POSRVV,5-VSTXTC-TTT-DK-EW,0.160000
"Mặt, hông trên, hông dưới & đỉnh",48.600000,10265,NXK-BLACK-01295-VM-PaleGreen-LXL-POSDEG4,9-DUONGC-BBT-W2-FT,0.081000
Két trên,300.000000,10264,NXK-BLACK-01295-VM-PaleGreen-LXL-POSDEG4,5-DUONGB-BBT-DK-FT,0.500000
Viền két,156.000000,10263,NXK-BLACK-01295-VM-PaleGreen-LXL-POSDEG4,5-DUONGA-BBT-DK-FT,0.260000
Két dưới,1050.000000,10262,NXK-BLACK-01295-VM-PaleGreen-LXL-POSDEG4,5-DUONGG-BBT-L8-FT,1.750000
Phối đỉnh,96.000000,10178,NXK-BLACK-01295-VM-PaleGreen-LXL-POSDEG4,5-VSTXTC-TTT-DK-EW,0.160000
"Mặt, hông trên, hông dưới & đỉnh",56.700000,10265,NXK-BLACK-01295-VM-Salmon-XL-PORTFH,9-DUONGC-BBT-W2-FT,0.081000
Két trên,350.000000,10264,NXK-BLACK-01295-VM-Salmon-XL-PORTFH,5-DUONGB-BBT-DK-FT,0.500000
Viền két,182.000000,10263,NXK-BLACK-01295-VM-Salmon-XL-PORTFH,5-DUONGA-BBT-DK-FT,0.260000
Két dưới,1225.000000,10262,NXK-BLACK-01295-VM-Salmon-XL-PORTFH,5-DUONGG-BBT-L8-FT,1.750000
Phối đỉnh,112.000000,10178,NXK-BLACK-01295-VM-Salmon-XL-PORTFH,5-VSTXTC-TTT-DK-EW,0.160000
"Mặt, hông trên, hông dưới & đỉnh",64.800000,10265,NXK-BLACK-01295-VM-DimGray-L-POJO3F,9-DUONGC-BBT-W2-FT,0.081000
Két trên,400.000000,10264,NXK-BLACK-01295-VM-DimGray-L-POJO3F,5-DUONGB-BBT-DK-FT,0.500000
Viền két,208.000000,10263,NXK-BLACK-01295-VM-DimGray-L-POJO3F,5-DUONGA-BBT-DK-FT,0.260000
Két dưới,1400.000000,10262,NXK-BLACK-01295-VM-DimGray-L-POJO3F,5-DUONGG-BBT-L8-FT,1.750000
Phối đỉnh,128.000000,10178,NXK-BLACK-01295-VM-DimGray-L-POJO3F,5-VSTXTC-TTT-DK-EW,0.160000
"Mặt, hông trên, hông dưới & đỉnh",46.980000,10265,NXK-BLACK-01295-VM-SeaGreen-S-PORTR56,9-DUONGC-BBT-W2-FT,0.081000
Két trên,290.000000,10264,NXK-BLACK-01295-VM-SeaGreen-S-PORTR56,5-DUONGB-BBT-DK-FT,0.500000
Viền két,150.800000,10263,NXK-BLACK-01295-VM-SeaGreen-S-PORTR56,5-DUONGA-BBT-DK-FT,0.260000
Két dưới,1015.000000,10262,NXK-BLACK-01295-VM-SeaGreen-S-PORTR56,5-DUONGG-BBT-L8-FT,1.750000
