name,product_id,outsourcing_order_id,is_complete_order,outsourcing_quantity,is_complete_order_detail,outsourcing_status
TTD-051222-254-Trung Việt,86,1405,0,3.500000,0,review
TTD-051222-254-Trung Việt,639,1405,0,14.000000,0,review
TTD-051222-254-Trung Việt,9042,1405,0,9.000000,0,review
TTD-051222-254-Trung Việt,9043,1405,0,52.000000,0,review
TTD-051222-254-Trung Việt,7371,1405,0,5.700000,0,review
TTD-051222-254-Trung Việt,7372,1405,0,22.000000,0,review
TTD-051222-254-Trung Việt,7373,1405,0,5.700000,0,review
TTD-051222-254-Trung Việt,7374,1405,0,22.000000,0,review
TTD-051222-254-Trung Việt,7375,1405,0,5.700000,0,review
TTD-051222-254-Trung Việt,11453,1405,0,22.000000,0,review
TTD-051222-254-Trung Việt,9098,1405,0,17.000000,0,review
TTD-051222-254-Trung Việt,9125,1405,0,15.000000,0,review
TTD-051222-254-Trung Việt,1065,1405,0,84.000000,0,review
TTD-051222-254-Trung Việt,1062,1405,0,24.000000,0,review
TTD-051222-254-Trung Việt,11433,1404,0,34.000000,0,approval
TTD-051222-254-Trung Việt,11378,1404,0,319.000000,0,approval
TTD-051222-254-Trung Việt,11412,1404,0,25.000000,0,approval
TTD-051222-254-Trung Việt,10832,1404,0,5.700000,0,approval
TTD-051222-254-Trung Việt,2337,1404,0,6.000000,0,approval
TTD-051222-254-Trung Việt,11468,1404,0,2.000000,0,approval
TTD-051222-254-Trung Việt,11469,1404,0,2.000000,0,approval
DYC-AU-221026-Western Zone QLD,8356,1403,0,180.000000,0,approval
DYC-AU-221026-Western Zone QLD,8335,1403,0,180.000000,0,approval
DYC-AU-221026-Western Zone QLD,9010,1403,0,1000.000000,0,approval
DYC-US-221117-E11even Vodka-665,6878,1402,0,1000.000000,0,approval
CIE-220920-CLB Mine Raglan,7247,1401,0,160.000000,0,approval
CIE-220920-CLB Mine Raglan,8964,1401,0,210.000000,0,approval
CIE-220920-CLB Mine Raglan,8963,1401,0,210.000000,0,approval
CIE-211222-GOCap Carbon - Speed Play-Corman,10620,1400,0,580.000000,0,approval
CIE-211222-GOCap Carbon - Speed Play-Steel,10632,1399,0,580.000000,0,approval
CIE-211222-GOCap Carbon - Speed Play-Steel,10282,1399,0,662.000000,0,approval
CIE-211222-GOCap Carbon - Speed Play-Steel,10281,1399,0,662.000000,0,approval
XA-303-PEGASUS_v1,11316,1398,0,100.000000,0,approval
DYC-US-221110-The Vibe Agency-661,8522,1397,0,80.000000,0,approval
DYC-US-221110-The Vibe Agency-661,8376,1397,0,80.000000,0,approval
TTD-221025-Bouygues-v1,11442,1396,0,560.000000,0,approval
TTD-221025-Bouygues-v1,11444,1396,0,660.000000,0,approval
TTD-221025-Bouygues-v1,11446,1396,0,660.000000,0,approval
TTD-031222-252-Trung Việt,659,1395,1,20.000000,1,completed
TTD-031222-252-Trung Việt,616,1395,1,55.000000,1,completed
TTD-031222-252-Trung Việt,11464,1395,1,52.000000,1,completed
TTD-031222-252-Trung Việt,1238,1395,1,126.000000,1,completed
