code,name,product_id,outsourcing_order_id,is_complete_order,created_at_,delivery_at_,outsourcing_quantity,is_complete_order_detail
06122022-1406,TTD-051222-254-Trung Việt,1062,1405,0,2022-12-06,,24.000000,0
06122022-1406,TTD-051222-254-Trung Việt,86,1405,0,2022-12-06,,3.500000,0
06122022-1406,TTD-051222-254-Trung Việt,639,1405,0,2022-12-06,,14.000000,0
06122022-1406,TTD-051222-254-Trung Việt,9042,1405,0,2022-12-06,,9.000000,0
06122022-1406,TTD-051222-254-Trung Việt,9043,1405,0,2022-12-06,,52.000000,0
06122022-1406,TTD-051222-254-Trung Việt,7371,1405,0,2022-12-06,,5.700000,0
06122022-1406,TTD-051222-254-Trung Việt,7372,1405,0,2022-12-06,,22.000000,0
06122022-1406,TTD-051222-254-Trung Việt,7373,1405,0,2022-12-06,,5.700000,0
06122022-1406,TTD-051222-254-Trung Việt,7374,1405,0,2022-12-06,,22.000000,0
06122022-1406,TTD-051222-254-Trung Việt,7375,1405,0,2022-12-06,,5.700000,0
06122022-1406,TTD-051222-254-Trung Việt,11453,1405,0,2022-12-06,,22.000000,0
06122022-1406,TTD-051222-254-Trung Việt,9098,1405,0,2022-12-06,,17.000000,0
06122022-1406,TTD-051222-254-Trung Việt,9125,1405,0,2022-12-06,,15.000000,0
06122022-1406,TTD-051222-254-Trung Việt,1065,1405,0,2022-12-06,,84.000000,0
05122022-1405,TTD-051222-254-Trung Việt,10832,1404,0,2022-12-05,,5.700000,0
05122022-1405,TTD-051222-254-Trung Việt,11433,1404,0,2022-12-05,,34.000000,0
05122022-1405,TTD-051222-254-Trung Việt,11378,1404,0,2022-12-05,,319.000000,0
05122022-1405,TTD-051222-254-Trung Việt,11412,1404,0,2022-12-05,,25.000000,0
05122022-1405,TTD-051222-254-Trung Việt,2337,1404,0,2022-12-05,,6.000000,0
05122022-1405,TTD-051222-254-Trung Việt,11468,1404,0,2022-12-05,,2.000000,0
05122022-1405,TTD-051222-254-Trung Việt,11469,1404,0,2022-12-05,,2.000000,0
05122022-1404,DYC-AU-221026-Western Zone QLD,9010,1403,0,2022-12-05,2022-12-06,1000.000000,0
05122022-1404,DYC-AU-221026-Western Zone QLD,8335,1403,0,2022-12-05,2022-12-06,180.000000,0
05122022-1404,DYC-AU-221026-Western Zone QLD,8356,1403,0,2022-12-05,2022-12-06,180.000000,0
05122022-1403,DYC-US-221117-E11even Vodka-665,6878,1402,0,2022-12-05,2022-12-06,1000.000000,0
05122022-1402,CIE-220920-CLB Mine Raglan,8964,1401,0,2022-12-05,2022-12-06,210.000000,0
05122022-1402,CIE-220920-CLB Mine Raglan,7247,1401,0,2022-12-05,2022-12-06,160.000000,0
05122022-1402,CIE-220920-CLB Mine Raglan,8963,1401,0,2022-12-05,2022-12-06,210.000000,0
05122022-1401,CIE-211222-GOCap Carbon - Speed Play-Corman,10620,1400,0,2022-12-05,2022-12-06,580.000000,0
05122022-1400,CIE-211222-GOCap Carbon - Speed Play-Steel,10281,1399,0,2022-12-05,2022-12-06,662.000000,0
05122022-1400,CIE-211222-GOCap Carbon - Speed Play-Steel,10282,1399,0,2022-12-05,2022-12-06,662.000000,0
05122022-1400,CIE-211222-GOCap Carbon - Speed Play-Steel,10632,1399,0,2022-12-05,2022-12-06,580.000000,0
05122022-1399,XA-303-PEGASUS_v1,11316,1398,0,2022-12-05,2022-12-06,100.000000,0
05122022-1398,DYC-US-221110-The Vibe Agency-661,8376,1397,0,2022-12-05,2022-12-06,80.000000,0
05122022-1398,DYC-US-221110-The Vibe Agency-661,8522,1397,0,2022-12-05,2022-12-06,80.000000,0
05122022-1397,TTD-221025-Bouygues-v1,11444,1396,0,2022-12-05,2022-12-06,660.000000,0
05122022-1397,TTD-221025-Bouygues-v1,11446,1396,0,2022-12-05,2022-12-06,660.000000,0
05122022-1397,TTD-221025-Bouygues-v1,11442,1396,0,2022-12-05,2022-12-06,560.000000,0
03122022-1396,TTD-031222-252-Trung Việt,659,1395,1,2022-12-03,,20.000000,1
03122022-1396,TTD-031222-252-Trung Việt,616,1395,1,2022-12-03,,55.000000,1
03122022-1396,TTD-031222-252-Trung Việt,11464,1395,1,2022-12-03,,52.000000,1
03122022-1396,TTD-031222-252-Trung Việt,1238,1395,1,2022-12-03,,126.000000,1
03122022-1396,TTD-031222-252-Trung Việt,11169,1395,1,2022-12-03,,35.000000,1
03122022-1396,TTD-031222-252-Trung Việt,9054,1395,1,2022-12-03,,3.500000,1
03122022-1396,TTD-031222-252-Trung Việt,317,1395,1,2022-12-03,,15.000000,1
03122022-1396,TTD-031222-252-Trung Việt,10884,1395,1,2022-12-03,,3.000000,1
03122022-1395,TTD-031222-252-Trung Việt-TTD-031222-253-Trung Việt,10884,1394,1,2022-12-03,,3.000000,1
03122022-1395,TTD-031222-252-Trung Việt-TTD-031222-253-Trung Việt,317,1394,1,2022-12-03,,15.000000,1
03122022-1395,TTD-031222-252-Trung Việt-TTD-031222-253-Trung Việt,9054,1394,1,2022-12-03,,3.500000,1
03122022-1395,TTD-031222-252-Trung Việt-TTD-031222-253-Trung Việt,11169,1394,1,2022-12-03,,35.000000,1
03122022-1395,TTD-031222-252-Trung Việt-TTD-031222-253-Trung Việt,1238,1394,1,2022-12-03,,126.000000,1
03122022-1395,TTD-031222-252-Trung Việt-TTD-031222-253-Trung Việt,11464,1394,1,2022-12-03,,52.000000,1
03122022-1395,TTD-031222-252-Trung Việt-TTD-031222-253-Trung Việt,616,1394,1,2022-12-03,,55.000000,1
03122022-1395,TTD-031222-252-Trung Việt-TTD-031222-253-Trung Việt,659,1394,1,2022-12-03,,20.000000,1
02122022-1394,TTDSTK-221121-VS520/VV520-True Red-Blank,11130,1393,0,2022-12-02,2022-12-03,145.000000,0
02122022-1393,TTDSTK-221121-VS520/VV520-Black-Blank,10723,1392,0,2022-12-02,2022-12-03,240.000000,0
02122022-1392,TTDSTK-221121-VS520/VV520-Fandango Pink-Blank,10725,1391,0,2022-12-02,2022-12-03,240.000000,0
02122022-1391,TTDSTK-221121-VS520/VV520-Blue-Blank,10727,1390,0,2022-12-02,2022-12-03,140.000000,0
02122022-1390,TTDSTK-221121-VS520/VV520 Navy Blue-Blank,10724,1389,0,2022-12-02,2022-12-03,250.000000,0
02122022-1389,TTDSTK-221121-BK-Buttercream-Blank,10709,1388,0,2022-12-02,2022-12-03,200.000000,0
02122022-1389,TTDSTK-221121-BK-Buttercream-Blank,10753,1388,0,2022-12-02,2022-12-03,330.000000,0
02122022-1388,TTDSTK-221121-BK-Antarctica-Blank,10752,1387,0,2022-12-02,2022-12-03,330.000000,0
02122022-1388,TTDSTK-221121-BK-Antarctica-Blank,10710,1387,0,2022-12-02,2022-12-03,200.000000,0
02122022-1387,CIE-211222-BCHat V Elite - Circle C-Boreal-60cm/58CM,10264,1386,0,2022-12-02,2022-12-03,200.000000,0
02122022-1387,CIE-211222-BCHat V Elite - Circle C-Boreal-60cm/58CM,10265,1386,0,2022-12-02,2022-12-03,200.000000,1
02122022-1386,TTD-021222-224-KQ,9008,1385,0,2022-12-02,,403.000000,0
02122022-1385,CIE-211222-BNDCKHat Carbon - Iconic VC-Cormon-60cm,8648,1384,0,2022-12-02,2022-12-03,265.000000,0
02122022-1385,CIE-211222-BNDCKHat Carbon - Iconic VC-Cormon-60cm,8649,1384,0,2022-12-02,2022-12-03,265.000000,0
02122022-1385,CIE-211222-BNDCKHat Carbon - Iconic VC-Cormon-60cm,9901,1384,0,2022-12-02,2022-12-03,548.000000,0
02122022-1384,CIE-211222-BNDCKHat Carbon - Iconic VC-Henri-60cm,8574,1383,0,2022-12-02,2022-12-03,245.000000,0
02122022-1384,CIE-211222-BNDCKHat Carbon - Iconic VC-Henri-60cm,8575,1383,0,2022-12-02,2022-12-03,245.000000,1
02122022-1384,CIE-211222-BNDCKHat Carbon - Iconic VC-Henri-60cm,9901,1383,0,2022-12-02,2022-12-03,484.000000,0
02122022-1383,CIE-211222-BNDCKHat Carbon - Iconic VC-Kits-60cm,10185,1382,0,2022-12-02,2022-12-03,585.000000,0
