outsourcing_order_id,outsourcing_product_id,is_complete_detail,outsourcing_quantity,quantity_stock_in
1405,86,0,3.500000,
1405,639,0,14.000000,
1405,9042,0,9.000000,
1405,9043,0,52.000000,
1405,7371,0,5.700000,
1405,7372,0,22.000000,
1405,7373,0,5.700000,
1405,7374,0,22.000000,
1405,7375,0,5.700000,
1405,11453,0,22.000000,
1405,9098,0,17.000000,
1405,9125,0,15.000000,
1405,1065,0,84.000000,
1405,1062,0,24.000000,
1404,11433,0,34.000000,
1404,11378,0,319.000000,
1404,11412,0,25.000000,
1404,10832,0,5.700000,
1404,2337,0,6.000000,
1404,11468,0,2.000000,
1404,11469,0,2.000000,
1403,8356,0,180.000000,
1403,8335,0,180.000000,
1403,9010,0,1000.000000,
1402,6878,0,1000.000000,
1401,7247,0,160.000000,
1401,8964,0,210.000000,
1401,8963,0,210.000000,
1400,10620,0,580.000000,
1399,10632,0,580.000000,
1399,10282,0,662.000000,
1399,10281,0,662.000000,
1398,11316,0,100.000000,
1397,8522,0,80.000000,
1397,8376,0,80.000000,
1396,11442,0,560.000000,
1396,11444,0,660.000000,
1396,11446,0,660.000000,
1395,659,1,20.000000,20.0000000000
1395,616,1,55.000000,55.0000000000
1395,11464,1,52.000000,33.0000000000
1395,11464,1,52.000000,19.0000000000
1395,1238,1,126.000000,81.0000000000
1395,1238,1,126.000000,45.0000000000
1395,11169,1,35.000000,35.0000000000
1395,9054,1,3.500000,3.5000000000
1395,317,1,15.000000,15.0000000000
1395,10884,1,3.000000,3.0000000000
1394,659,1,20.000000,
1394,616,1,55.000000,
1394,11464,1,52.000000,
1394,1238,1,126.000000,
1394,11169,1,35.000000,
1394,9054,1,3.500000,
1394,317,1,15.000000,
1394,10884,1,3.000000,
1393,11130,0,145.000000,
1392,10723,0,240.000000,
1391,10725,0,240.000000,
1390,10727,0,140.000000,
1389,10724,0,250.000000,
1388,10753,0,330.000000,
1388,10709,0,200.000000,
1387,10710,0,200.000000,
1387,10752,0,330.000000,
1386,10265,1,200.000000,200.0000000000
1386,10264,0,200.000000,
1385,9008,0,403.000000,
1384,9901,0,548.000000,
1384,8649,0,265.000000,
1384,8648,0,265.000000,
1383,9901,0,484.000000,
1383,8575,1,245.000000,245.0000000000
1383,8574,0,245.000000,5.0000000000
1383,8574,0,245.000000,1.0000000000
1383,8574,0,245.000000,1.0000000000
1382,9901,0,580.000000,
1382,10186,0,285.000000,
1382,10185,0,585.000000,
1381,10186,0,500.000000,
1381,10185,0,500.000000,
1380,10265,1,200.000000,
1379,9901,0,195.000000,
1379,10265,1,195.000000,195.0000000000
1379,10264,0,195.000000,
1378,11109,0,220.000000,
1377,8714,0,1800.000000,
1377,6861,0,9500.000000,
1377,7217,0,1580.000000,
1377,9882,0,1805.000000,
1377,6952,0,5050.000000,
1377,9806,0,3315.000000,
1377,7293,0,2900.000000,
1377,9959,0,3060.000000,
1377,7338,0,2652.000000,
1377,7723,0,3315.000000,
1377,7292,0,2900.000000,
1376,9459,1,5515.000000,5515.0000000000
1376,9457,0,5515.000000,
1375,2275,1,19.500000,5.5000000000
1375,2275,1,19.500000,14.0000000000
1375,2276,1,26.000000,26.0000000000
