product_id,product_unit_id,unit_id,is_default
21,21,1,1
21,12018,5,0
22,22,1,1
22,12019,5,0
26,26,1,1
26,12023,5,0
28,28,1,1
28,12025,5,0
32,32,1,1
32,12028,5,0
33,33,1,1
33,12029,5,0
34,34,1,1
34,12030,5,0
35,35,1,1
35,12031,5,0
36,36,1,1
36,12032,5,0
37,37,1,1
37,12033,5,0
40,40,1,1
40,12036,5,0
41,41,1,1
41,12037,5,0
42,42,1,1
42,12038,5,0
43,43,1,1
43,12039,5,0
44,44,1,1
44,12040,5,0
45,45,1,1
45,12041,5,0
47,47,1,1
47,12043,5,0
49,49,1,1
49,12045,5,0
51,51,1,1
51,12047,5,0
53,53,1,1
53,12049,5,0
54,54,1,1
54,12050,5,0
55,55,1,1
55,12051,5,0
56,56,1,1
56,12052,5,0
57,57,1,1
57,12053,5,0
58,58,1,1
58,12054,5,0
60,60,1,1
60,12056,5,0
62,62,1,1
62,12058,5,0
66,66,1,1
66,12061,5,0
75,75,1,1
75,12069,5,0
78,78,1,1
78,12072,5,0
79,79,1,1
79,12073,5,0
81,81,1,1
81,12075,5,0
101,101,1,1
101,12093,5,0
106,106,1,1
106,12096,5,0
108,108,1,1
108,12097,5,0
109,109,1,1
109,12098,5,0
112,112,1,1
112,12100,5,0
113,113,1,1
113,12101,5,0
125,125,1,1
125,12113,5,0
126,126,1,1
126,12114,5,0
132,132,1,1
132,12119,5,0
136,136,1,1
136,12123,5,0
141,141,1,1
141,12128,5,0
144,144,1,1
144,12131,5,0
154,154,1,1
154,12141,5,0
156,156,1,1
156,12143,5,0
158,158,1,1
158,12145,5,0
164,164,1,1
164,12151,5,0
165,165,1,1
165,12152,5,0
184,184,1,1
184,12171,5,0
193,193,1,1
193,12180,5,0
198,198,1,1
198,12183,5,0
199,199,1,1
199,12184,5,0
204,204,1,1
204,12189,5,0
206,206,1,1
206,12191,5,0
207,207,1,1
207,12192,5,0
210,210,1,1
210,12195,5,0
213,213,1,1
213,12198,5,0
216,216,1,1
216,12201,5,0
217,217,1,1
217,12202,5,0
218,218,1,1
218,12203,5,0
219,219,1,1
219,12204,5,0
223,223,1,1
223,12207,5,0
224,224,1,1
224,12208,5,0
227,227,1,1
227,12211,5,0
233,233,1,1
233,12216,5,0
234,234,1,1
234,12217,5,0
237,237,1,1
237,12219,5,0
238,238,1,1
238,12220,5,0
243,243,1,1
243,12225,5,0
244,244,1,1
244,12226,5,0
246,246,1,1
246,12228,5,0
247,247,1,1
247,12229,5,0
248,248,1,1
248,12230,5,0
252,252,1,1
252,12234,5,0
255,255,1,1
255,12237,5,0
256,256,1,1
256,12238,5,0
257,257,1,1
257,12239,5,0
279,279,1,1
279,12261,5,0
280,280,1,1
280,12262,5,0
289,289,1,1
289,12271,5,0
290,290,1,1
290,12272,5,0
291,291,1,1
291,12273,5,0
293,293,1,1
293,12275,5,0
294,294,1,1
294,12276,5,0
295,295,1,1
295,12277,5,0
299,299,1,1
299,12281,5,0
300,300,1,1
300,12282,5,0
301,301,1,1
301,12283,5,0
302,302,1,1
302,12284,5,0
305,305,1,1
305,12287,5,0
311,311,1,1
311,12293,5,0
312,312,1,1
312,12294,5,0
313,313,1,1
313,12295,5,0
320,320,1,1
320,12301,5,0
321,321,1,1
321,12302,5,0
322,322,1,1
322,12303,5,0
323,323,1,1
323,12304,5,0
328,328,1,1
328,12309,5,0
329,329,1,1
329,12310,5,0
330,330,1,1
330,12311,5,0
331,331,1,1
331,12312,5,0
333,333,1,1
333,12314,5,0
335,335,1,1
335,12316,5,0
338,338,1,1
338,12319,5,0
339,339,1,1
339,12320,5,0
343,343,1,1
343,12323,5,0
345,345,1,1
345,12325,5,0
346,346,1,1
346,12326,5,0
350,350,1,1
350,12329,5,0
351,351,1,1
351,12330,5,0
353,353,1,1
353,12332,5,0
354,354,1,1
354,12333,5,0
356,356,1,1
356,12335,5,0
357,357,1,1
357,12336,5,0
359,359,1,1
359,12338,5,0
360,360,1,1
360,12339,5,0
364,364,1,1
364,12343,5,0
366,366,1,1
366,12345,5,0
368,368,1,1
368,12347,5,0
369,369,1,1
369,12348,5,0
375,375,1,1
375,12354,5,0
377,377,1,1
377,12356,5,0
379,379,1,1
379,12358,5,0
380,380,1,1
380,12359,5,0
384,384,1,1
384,12363,5,0
385,385,1,1
385,12364,5,0
388,388,1,1
388,12367,5,0
393,393,1,1
393,12372,5,0
396,396,1,1
396,12375,5,0
402,402,1,1
402,12380,5,0
404,404,1,1
404,12382,5,0
413,413,1,1
413,12389,5,0
419,419,1,1
419,12395,5,0
421,421,1,1
421,12397,5,0
428,428,1,1
428,12404,5,0
429,429,1,1
429,12405,5,0
431,431,1,1
431,12407,5,0
433,433,1,1
433,12409,5,0
453,453,1,1
453,12429,5,0
456,456,1,1
456,12432,5,0
457,457,1,1
457,12433,5,0
459,459,1,1
459,12435,5,0
460,460,1,1
460,12436,5,0
462,462,1,1
462,11732,5,0
464,464,1,1
464,12439,5,0
465,465,1,1
465,11733,5,0
467,467,1,1
467,12441,5,0
469,469,1,1
469,11734,5,0
471,471,1,1
471,11735,5,0
473,473,1,1
473,12445,5,0
474,474,1,1
474,12446,5,0
476,476,1,1
476,12448,5,0
478,478,1,1
478,12450,5,0
479,479,1,1
479,12451,5,0
480,480,1,1
480,12452,5,0
482,482,1,1
482,12454,5,0
483,483,1,1
483,12455,5,0
484,484,1,1
484,12456,5,0
498,498,1,1
498,12470,5,0
500,500,1,1
500,12472,5,0
502,502,1,1
502,12474,5,0
504,504,1,1
504,12476,5,0
506,506,1,1
506,12478,5,0
508,508,1,1
508,12480,5,0
510,510,1,1
510,12482,5,0
511,511,1,1
511,12483,5,0
513,513,1,1
513,12485,5,0
516,516,1,1
516,12488,5,0
517,517,1,1
517,11853,5,0
519,519,1,1
519,12490,5,0
520,520,1,1
520,12491,5,0
521,521,1,1
521,12492,5,0
522,522,1,1
522,12493,5,0
523,523,1,1
523,12494,5,0
524,524,1,1
524,12495,5,0
525,525,1,1
525,12496,5,0
527,527,1,1
527,12498,5,0
529,529,1,1
529,12500,5,0
530,530,1,1
530,12501,5,0
531,531,1,1
531,12502,5,0
533,533,1,1
533,12504,5,0
534,534,1,1
534,12505,5,0
535,535,1,1
535,12506,5,0
536,536,1,1
536,12507,5,0
537,537,1,1
537,12508,5,0
538,538,1,1
