product_code,order_id,production_order_id,production_code,quantity_production_order,quantity_exported_production_order,time_create,completed_at,time_stock_out
1-CVAC04-SCA-00-HV,1,15,PYC-07-CAT,19.548000,18.548000,2022-05-13,2022-05-14,2022-05-16
1-CVAC12-ROL-00-IW,1,15,PYC-07-CAT,37.246000,36.246000,2022-05-13,2022-05-14,2022-05-16
2-M83200-BLK-00-DI,1,15,PYC-07-CAT,16.500000,16.500000,2022-05-13,2022-05-14,2022-05-16
7-CM3822-RED-50-PP,1,17,PYC-07-THU-DUC,1.500000,1.500000,2022-05-13,2022-05-16,2022-05-25
7-CM7382-BLU-50-PP,1,17,PYC-07-THU-DUC,4.000000,4.000000,2022-05-13,2022-05-16,2022-05-25
8-BF0060-000-DE-TL,1,17,PYC-07-THU-DUC,500.000000,500.000000,2022-05-13,2022-05-16,2022-05-25
7-CMCUOC-WHI-00-AK,1,17,PYC-07-THU-DUC,1.000000,1.000000,2022-05-13,2022-05-16,2022-05-25
9-HCHOAM-000-00-NP,1,17,PYC-07-THU-DUC,20.000000,20.000000,2022-05-13,2022-05-16,2022-05-25
9-GDTHMB-BLK-20-AN,1,17,PYC-07-THU-DUC,45.000000,45.000000,2022-05-13,2022-05-16,2022-05-25
9-GDTHMG-BLK-20-AN,1,17,PYC-07-THU-DUC,45.000000,45.000000,2022-05-13,2022-05-16,2022-05-25
4-CVAC06-BLK-A0-35,1,17,PYC-07-THU-DUC,309.000000,200.000000,2022-05-13,2022-05-16,2022-06-14
4-CVAC06-BLK-A0-35,1,17,PYC-07-THU-DUC,309.000000,64.000000,2022-05-13,2022-05-16,2022-06-14
4-CVAC06-BLK-A0-35,1,17,PYC-07-THU-DUC,309.000000,45.000000,2022-05-13,2022-05-16,2022-06-14
3-NH9454-BLK-23-CY,1,17,PYC-07-THU-DUC,500.000000,500.000000,2022-05-13,2022-05-16,2022-05-25
1-CVAC04-SCA-L2-HV,1,29,PYC-15-CAT,7.262500,6.562500,2022-05-18,2022-05-19,2022-05-19
1-CVAC12-ROL-L2-IW,1,29,PYC-15-CAT,7.262500,6.562500,2022-05-18,2022-05-19,2022-05-19
7-CM0BLK-BLK-50-PP,1,30,PYC-09-THUDUC,5.000000,5.000000,2022-05-19,2022-05-20,2022-05-19
2-M83200-BLK-00-DI,1,34,PYC-17-CAT,16.500000,16.500000,2022-05-20,2022-05-21,2022-05-23
9-NS3C02-000-00-NT,1,35,PYC-11-THUDUC,500.000000,500.000000,2022-05-20,2022-05-21,2022-05-21
9-B03680-WHI-00-HN,1,36,PYC-12-THUDUC,20.000000,20.000000,2022-05-20,2022-05-21,2022-06-02
9-X44317-Y00-5L-BN,1,114,PYC-16-THUDUC,5.000000,5.000000,2022-05-30,2022-05-31,2022-06-04
7-CM0BLK-BLK-50-PP,2,30,PYC-09-THUDUC,0.500000,0.500000,2022-05-19,2022-05-20,2022-05-19
2-GANXAM-GRY-00-WW,2,34,PYC-17-CAT,1.600000,1.600000,2022-05-20,2022-05-21,2022-05-23
9-NS3C02-000-00-NT,2,35,PYC-11-THUDUC,51.000000,51.000000,2022-05-20,2022-05-21,2022-05-21
6-NH7000-BLK-00-WW,2,36,PYC-12-THUDUC,51.000000,51.000000,2022-05-20,2022-05-21,2022-06-02
9-B03680-WHI-00-HN,2,36,PYC-12-THUDUC,2.000000,2.000000,2022-05-20,2022-05-21,2022-06-02
3-NH950V-BLK-23-CY,2,36,PYC-12-THUDUC,51.000000,51.000000,2022-05-20,2022-05-21,2022-06-02
8-BF0092-000-00-TL,2,51,PYC-13-THUDUC,51.000000,51.000000,2022-05-23,2022-05-24,2022-05-27
1-L31014-BLK-00-DD,2,96,PYC-44-CAT,3.100000,3.100000,2022-05-27,2022-05-28,2022-05-29
1-L31014-BLK-L2-DD,2,96,PYC-44-CAT,4.000000,4.000000,2022-05-27,2022-05-28,2022-05-29
9-X44317-Y00-5L-BN,2,114,PYC-16-THUDUC,0.500000,0.500000,2022-05-30,2022-05-31,2022-06-04
4-KATEIN-BLK-N0-28,2,659,PYC-232-PHOI,81.300000,81.300000,2022-07-15,2022-07-16,2022-07-16
4-KATEIN-BLK-N0-28,3,659,PYC-232-PHOI,159.500000,159.500000,2022-07-15,2022-07-16,2022-07-16
7-CM0BLK-BLK-50-PP,3,30,PYC-09-THUDUC,1.000000,1.000000,2022-05-19,2022-05-20,2022-05-19
2-GANXAM-GRY-00-WW,3,34,PYC-17-CAT,3.400000,3.400000,2022-05-20,2022-05-21,2022-05-23
9-NS3C02-000-00-NT,3,35,PYC-11-THUDUC,100.000000,100.000000,2022-05-20,2022-05-21,2022-05-21
6-NH7000-BLK-00-WW,3,36,PYC-12-THUDUC,100.000000,100.000000,2022-05-20,2022-05-21,2022-06-02
