code,creator_id,name_po,total_amount,purchase_order_id,is_completed,po_status,time_create,estimated_delivery,supplier_delivery_id
TTD-02052022-003-AK,343,TTD-02052022-003-AK,617.000000,1,1,completed,2022-05-04,,61
TTD-02052022-001-MX,344,TTD-02052022-001-MX,1000.000000,2,1,completed,2022-05-04,,74
TTD-02052022-004-HV,343,TTD-02052022-004-HV,2500.000000,3,1,completed,2022-05-05,,111
TTD-05052022-005-HN,343,TTD-05052022-005-HN,100.000000,4,1,completed,2022-05-05,,72
TTD-03052022-006-DI,343,TTD-03052022-006-DI,2000.000000,5,1,completed,2022-05-05,,65
TTD-04052022-013-HV,343,TTD-04052022-013-HV,1000.000000,6,1,completed,2022-05-05,,111
TTD-05052022-014-AK,343,TTD-05052022-014-AK,30.000000,7,1,completed,2022-05-05,,61
TTD-02052022-002-TL,344,TTD-02052022-002-TL,17400.000000,8,1,completed,2022-05-05,,67
TTD-03052022-007-TQ,344,TTD-03052022-007-TQ,250.000000,9,1,completed,2022-05-05,,116
TTD-03052022-009-TF,344,TTD-03052022-009-TF,2000.000000,11,1,completed,2022-05-05,,101
TTD-03052022-010-DH,344,TTD-03052022-010-DH,100.000000,12,1,completed,2022-05-05,,178
TTD-03052022-011-DA,344,TTD-03052022-011-DA,1000.000000,13,1,completed,2022-05-05,,83
TTD-03052022-012-MX,344,TTD-03052022-012-MX,30000.000000,14,1,completed,2022-05-05,,74
TTD-05052022-015-KJ,343,TTD-05052022-015-KJ,500.000000,15,1,completed,2022-05-05,,17
TTD-05052022-016-PP,344,TTD-05052022-016-PP,8.000000,16,1,completed,2022-05-05,,69
TTD-05052022-017-TF,344,TTD-05052022-017-TF,1000.000000,17,1,completed,2022-05-05,,185
TTD-05052022-018-PH,343,TTD-05052022-018-PH,150.000000,18,1,completed,2022-05-05,,68
TTD-05052022-019-CY,343,TTD-05052022-019-CY,22100.000000,19,1,completed,2022-05-05,,62
TTD-05052022-020-PP,344,TTD-05052022-020-PP,5.000000,20,1,completed,2022-05-05,,69
TTD-06052022-021-BN,343,TTD-06052022-021-BN,200.000000,21,1,completed,2022-05-06,,19
TTD-06052022-022-TL,344,TTD-06052022-022-TL,34680.000000,22,1,completed,2022-05-09,2022-05-21,67
TTD-06052022-023-MX,344,TTD-06052022-023-MX,25000.000000,23,1,completed,2022-05-09,2022-05-21,74
TTD-09052022-025-HV,343,TTD-09052022-025-HV,1000.000000,26,1,completed,2022-05-09,2022-05-31,111
TTD-09052022-026-HV,343,TTD-09052022-026-HV,4000.000000,27,1,completed,2022-05-09,2022-05-31,111
TTD-09052022-028-DT,343,TTD-09052022-028-DT,6.000000,28,1,completed,2022-05-09,2022-05-15,106
TTD-09052022-030-BN,343,TTD-09052022-030-BN,200.000000,29,1,completed,2022-05-09,2022-05-25,19
TTD-09052022-024-MX,344,TTD-09052022-024-MX,5000.000000,30,1,completed,2022-05-09,,74
TTD-09052022-027-PP,344,TTD-09052022-027-PP,9.000000,31,1,completed,2022-05-09,2022-05-19,69
TTD-09052022-029-NI,344,TTD-09052022-029-NI,24.000000,32,1,completed,2022-05-09,2022-05-10,174
TTD-09052022-031-TL,344,TTD-09052022-031-TL,34710.000000,33,1,completed,2022-05-09,2022-05-20,67
TTD-09052022-034-TG,343,TTD-09052022-034-TG,7600.000000,34,1,completed,2022-05-09,2022-05-31,103
TTD-09052022-035-AK,343,TTD-09052022-035-AK,223.000000,35,1,completed,2022-05-09,,61
TTD-09052022-036-CY,343,TTD-09052022-033-CY,5100.000000,36,1,completed,2022-05-09,2022-05-31,62
TTD-03052022-008-NI,344,TTD-03052022-008-NI,1000.000000,37,1,completed,2022-05-10,,174
TTD-10052022-037-PP,344,TTD-10052022-037-PP,298.000000,38,1,completed,2022-05-10,,69
TTD-10052022-038-CM,344,TTD-10052022-038-CM,5000.000000,39,1,completed,2022-05-10,2022-05-26,73
TTD-10052022-039-EV,344,TTD-10052022-039-EV,2000.000000,40,1,completed,2022-05-10,,2
TTD-10052022-040-AN,344,TTD-10052022-040-AN,8000.000000,41,1,completed,2022-05-10,,99
TTD-09052022-032-HV,343,TTD-09052022-032-HV,4000.000000,42,1,completed,2022-05-10,2022-05-31,111
TTD-10052022-041-HV,343,TTD-10052022-041-HV,1000.000000,43,1,completed,2022-05-10,2022-05-31,111
TTD-10052022-042-MX,344,TTD-10052022-042-MX,5000.000000,44,1,completed,2022-05-10,2022-05-25,74
