request_id,req_stockout_code,req_stockout_status,is_complete_req
1,16062022-1,completed,0
2,16062022-2,completed,0
3,16062022-3,completed,0
4,16062022-4,completed,1
5,16062022-5,completed,1
6,16062022-6,completed,0
7,16062022-7,completed,0
9,16062022-8,completed,0
10,16062022-10,completed,0
11,16062022-11,completed,0
12,16062022-12,completed,0
13,16062022-13,completed,0
14,16062022-14,completed,0
16,16062022-16,completed,1
17,16062022-17,completed,1
18,17062022-18,completed,1
19,17062022-19,completed,0
20,17062022-20,completed,0
21,17062022-21,completed,1
22,17062022-22,completed,1
23,17062022-23,completed,1
27,17062022-27,completed,0
28,18062022-28,completed,0
29,18062022-29,completed,0
30,18062022-30,completed,0
31,18062022-31,completed,0
32,18062022-32,completed,0
33,18062022-33,completed,0
34,18062022-34,completed,0
35,18062022-35,completed,0
36,20062022-36,completed,0
37,20062022-37,completed,0
39,20062022-39,completed,1
40,20062022-40,completed,0
41,20062022-41,completed,0
42,20062022-42,completed,0
43,20062022-43,completed,0
45,20062022-45,completed,0
46,20062022-46,completed,0
47,20062022-47,completed,0
48,20062022-48,completed,0
49,20062022-49,completed,0
50,20062022-50,completed,0
52,20062022-52,completed,0
53,20062022-53,completed,0
56,20062022-56,completed,0
58,20062022-58,completed,1
59,20062022-59,completed,0
60,21062022-60,completed,0
61,21062022-61,completed,0
62,21062022-62,completed,0
63,21062022-63,completed,0
64,21062022-64,completed,0
65,21062022-65,completed,0
68,22062022-68,completed,0
69,22062022-69,completed,0
70,22062022-70,completed,0
71,22062022-71,completed,0
72,22062022-72,completed,0
73,22062022-73,completed,0
76,22062022-76,completed,0
78,22062022-78,completed,0
79,22062022-79,completed,0
80,22062022-80,completed,0
81,22062022-81,completed,0
83,22062022-83,completed,0
85,22062022-85,completed,0
86,23062022-86,completed,0
87,23062022-87,completed,0
89,23062022-89,completed,0
90,23062022-90,completed,0
91,23062022-91,completed,0
92,23062022-92,completed,0
93,23062022-93,completed,0
96,23062022-94,completed,0
97,23062022-97,completed,0
98,23062022-98,completed,0
99,23062022-99,completed,0
100,23062022-100,completed,0
102,24062022-102,completed,0
103,24062022-103,completed,1
104,24062022-104,completed,0
106,24062022-106,completed,0
107,24062022-107,completed,0
108,24062022-108,completed,0
110,25062022-110,completed,0
111,25062022-111,completed,1
112,25062022-112,completed,0
113,25062022-113,completed,0
114,25062022-114,completed,0
115,25062022-115,completed,0
117,25062022-117,completed,0
119,26062022-119,completed,0
120,27062022-120,completed,0
122,27062022-122,completed,0
123,27062022-123,completed,0
124,27062022-124,completed,0
126,28062022-126,completed,0
127,28062022-127,completed,0
128,28062022-128,completed,0
129,28062022-129,completed,0
130,28062022-130,completed,0
131,28062022-131,completed,0
132,28062022-132,completed,0
135,28062022-135,completed,1
136,28062022-136,completed,0
138,28062022-138,completed,0
139,28062022-139,completed,0
140,29062022-140,completed,0
141,29062022-141,completed,1
142,29062022-142,completed,0
143,29062022-143,completed,0
144,29062022-144,completed,0
145,29062022-145,completed,0
147,29062022-146,completed,0
148,29062022-148,completed,0
149,29062022-149,completed,0
150,29062022-150,completed,0
152,29062022-151,completed,0
153,30062022-153,completed,0
154,30062022-154,completed,0
156,30062022-156,completed,0
157,30062022-157,completed,0
158,30062022-158,completed,0
159,30062022-159,completed,0
160,30062022-160,completed,0
162,01072022-162,completed,0
164,01072022-164,completed,0
165,01072022-165,completed,0
166,01072022-166,completed,0
168,01072022-168,completed,0
169,01072022-169,completed,0
173,01072022-172,completed,0
174,01072022-174,completed,0
175,01072022-175,completed,0
177,01072022-177,completed,0
179,01072022-179,completed,0
180,02072022-180,completed,1
181,02072022-181,completed,0
183,02072022-183,completed,0
184,02072022-184,completed,0
185,02072022-185,completed,0
186,02072022-186,completed,0
187,04072022-187,completed,0
188,04072022-188,completed,0
189,04072022-189,completed,0
190,04072022-190,completed,0
191,04072022-191,completed,0
192,04072022-192,completed,0
194,04072022-193,completed,0
195,04072022-195,completed,0
196,04072022-196,completed,0
197,05072022-197,completed,1
198,05072022-198,completed,0
200,05072022-200,completed,0
201,05072022-201,approval,0
202,05072022-202,completed,1
203,05072022-203,completed,0
206,05072022-206,completed,1
