product_id,request_id,quantity_req_stockout,assign_product_stockout_id,exported_req_quantity
1,1915,20.000000,49611,20.000000
1,175,0.500000,9163,0.500000
1,419,4.500000,16579,4.500000
1,520,30.000000,19089,30.000000
1,576,285.250000,20661,285.250000
1,905,183.000000,26358,183.000000
2,243,549.000000,11341,549.000000
2,263,366.000000,12168,366.000000
2,279,200.000000,12260,200.000000
2,431,0.700000,17298,0.700000
2,463,1.000000,17831,1.000000
2,597,5.000000,21084,5.000000
2,720,1.000000,23312,1.000000
2,905,183.000000,26359,183.000000
2,1064,200.000000,29612,200.000000
2,1915,20.000000,49612,20.000000
3,1730,60.000000,44851,60.000000
4,1915,20.000000,49610,20.000000
5,1089,274.300000,30007,329.160000
5,1101,274.300000,30016,329.160000
5,1149,274.300000,31020,329.160000
5,1242,274.000000,33033,87.920000
5,1242,274.000000,33034,240.880000
5,1631,273.000000,42645,327.600000
6,1508,2.700000,40207,2.740000
7,1508,2.700000,40206,2.740000
8,1508,2.700000,40205,2.740000
9,96,1.000000,9182,1.000000
9,329,0.500000,14590,0.500000
9,1075,1.500000,29816,1.500000
10,96,1.500000,6783,1.500000
10,284,4.500000,12472,4.500000
10,859,15.000000,25720,15.000000
10,1675,3.000000,43512,3.000000
10,1873,2.000000,48145,2.000000
12,1897,0.500000,48832,0.500000
12,85,4.000000,6792,4.000000
12,96,7.000000,6782,7.000000
12,252,0.500000,11951,0.500000
12,1075,1.500000,29810,1.500000
12,1222,1.000000,32680,1.000000
13,96,4.000000,6778,4.000000
13,329,0.500000,14593,0.500000
13,757,2.000000,24460,2.000000
14,85,2.000000,6794,2.000000
14,96,2.000000,6784,2.000000
14,1563,1.000000,42058,1.000000
14,1897,0.500000,48833,0.500000
15,96,5.000000,6785,5.000000
15,329,0.500000,14592,0.500000
15,451,1.000000,17827,1.000000
15,466,1.000000,17828,1.000000
16,96,3.000000,6786,3.000000
16,859,13.000000,25721,13.000000
16,1075,1.000000,29812,1.000000
16,1276,1.000000,33945,1.000000
16,1711,7.000000,44419,7.000000
16,1897,2.000000,48834,2.000000
16,2000,0.500000,51435,0.500000
17,1711,5.000000,44418,5.000000
17,1873,1.000000,48139,1.000000
17,1897,2.000000,48837,2.000000
17,96,5.000000,6781,5.000000
17,1075,1.000000,29814,1.000000
20,1075,1.000000,29817,1.000000
20,1873,1.500000,48143,1.500000
27,113,1.200000,8832,1.200000
27,850,0.500000,25718,0.500000
29,60,2.000000,6175,2.000000
29,438,1.000000,17285,1.000000
29,541,0.500000,19606,0.500000
29,570,5.000000,20089,5.000000
29,675,1.000000,22804,1.000000
29,718,1.000000,23343,1.000000
29,868,3.000000,25951,3.000000
29,1675,1.000000,43517,1.000000
29,1711,1.500000,44422,1.500000
29,1837,1.000000,48030,1.000000
43,1122,4.000000,31009,4.800000
43,1159,3.000000,31299,3.000000
69,793,2.000000,24333,2.000000
69,817,0.500000,25045,0.500000
69,1099,1.700000,31000,2.040000
69,1115,0.500000,30392,0.500000
69,1373,0.500000,36660,0.500000
69,1548,6.500000,41059,6.500000
71,320,0.300000,13658,0.300000
73,27,0.500000,5298,0.500000
74,103,0.500000,7405,0.500000
74,135,3.000000,8656,3.000000
74,149,1.000000,8472,1.000000
74,222,91.000000,11240,91.000000
74,230,5.000000,11239,5.000000
74,241,3.000000,11365,3.000000
74,286,1.000000,12474,1.000000
74,372,2.500000,15396,2.500000
74,396,0.500000,16603,0.500000
74,509,0.500000,18738,0.500000
74,515,0.500000,19045,0.500000
74,697,0.500000,23298,0.500000
74,757,22.000000,24453,0.100000
74,757,22.000000,24454,0.800000
74,757,22.000000,24455,0.800000
74,757,22.000000,24456,0.020000
74,757,22.000000,24457,0.300000
74,757,22.000000,24458,0.200000
74,757,22.000000,24459,19.780000
74,817,0.500000,25044,0.500000
74,831,0.500000,25457,0.500000
74,979,1.000000,27797,1.000000
74,1008,0.500000,28673,0.500000
74,1202,1.000000,32580,1.020000
74,1276,1.000000,33936,1.000000
74,1469,2.000000,39672,2.000000
74,1495,1.000000,40104,1.000000
