order_id,material_order,child_product,total_quota,quota_outsourcing,level,size_level_next
2518,8916,6608,150.0,0.0278,2,0
2518,3983,7824,99.0,0.008,2,0
2518,8508,793,222.75,0.0241,2,0
2518,8347,8312,99.0,1.0,2,1
2518,8347,8311,99.0,0.026,3,0
2518,8347,8326,99.0,1.0,2,1
2518,8347,82,99.0,0.0672,3,0
2518,8347,8313,99.0,1.0,2,1
2518,8347,7923,99.0,0.026,3,0
2517,10948,10946,151.0,0.1,2,0
2517,3989,8278,99.66,0.008,2,0
2517,9005,6885,242.51,1.0,2,1
2517,9005,904,242.51,0.0241,3,0
2517,8747,8372,99.66,1.0,2,1
2517,8747,6643,99.66,0.0302,3,0
2517,8747,8427,99.66,1.0,2,1
2517,8747,8311,99.66,0.0293,3,0
2517,8747,8746,99.66,1.0,2,1
2517,8747,102,99.66,0.0646,3,0
2516,8916,6608,151.0,0.0278,2,0
2516,3983,7824,99.66,0.008,2,0
2516,9008,8508,242.51,1.0,2,1
2516,9008,793,242.51,0.0241,3,0
2516,9478,8429,99.66,1.0,2,1
2516,9478,7923,99.66,0.0293,3,0
2516,9478,8427,99.66,1.0,2,1
2516,9478,8311,99.66,0.0293,3,0
2516,9478,8699,99.66,1.0,2,1
2516,9478,82,99.66,0.0793,3,0
2515,3983,7824,66.0,0.008,2,0
2515,8508,793,148.5,0.0241,2,0
2515,8522,8312,66.0,1.0,2,1
2515,8522,8311,66.0,0.026,3,0
2515,8522,8376,66.0,1.0,2,1
2515,8522,317,66.0,0.069,3,2
2515,8522,1,66.0,0.069,4,0
2515,8522,317,66.0,0.069,3,2
2515,8522,316,66.0,0.069,4,0
2515,317,1,1.21,1.0,2,0
2515,317,316,1.21,1.0,2,0
2515,11457,1,2.24,1.0,2,0
2515,11457,1294,2.24,1.0,2,0
2515,317,1,2.34,1.0,2,0
2515,317,316,2.34,1.0,2,0
2515,317,1,3.54,1.0,2,0
2515,317,316,3.54,1.0,2,0
2515,317,1,2.75,1.0,2,0
2515,317,316,2.75,1.0,2,0
2515,9054,793,2.62,1.0,2,0
2515,9054,316,2.62,1.0,2,0
2514,8916,6608,7000.0,0.0278,2,0
2514,3983,7824,4326.0,0.008,2,0
2514,9028,7684,10526.6,1.0,2,0
2514,8733,8429,4326.0,1.0,2,1
2514,8733,7923,4326.0,0.0293,3,0
2514,8733,8427,4326.0,1.0,2,1
2514,8733,8311,4326.0,0.0293,3,0
2514,8733,8425,4326.0,1.0,2,1
2514,8733,82,4326.0,0.0474,3,0
2514,2171,1,212.8,1.0,2,0
2514,2171,2170,212.8,1.0,2,0
2514,2171,1,168.0,1.0,2,0
2514,2171,2170,168.0,1.0,2,0
2514,2171,1,179.2,1.0,2,0
2514,2171,2170,179.2,1.0,2,0
2513,8916,6608,1000.0,0.0278,2,0
2513,3983,7824,618.0,0.008,2,0
2513,8508,793,1390.5,0.0241,2,0
2513,8347,8312,618.0,1.0,2,1
2513,8347,8311,618.0,0.026,3,0
2513,8347,8326,618.0,1.0,2,1
2513,8347,82,618.0,0.0672,3,0
2513,8347,8313,618.0,1.0,2,1
2513,8347,7923,618.0,0.026,3,0
2512,3983,7824,1.16,0.008,2,0
2512,8380,8313,99.0,1.0,2,1
2512,8380,7923,99.0,0.026,3,0
2512,8380,8379,99.0,1.0,2,1
2512,8380,2259,99.0,0.0638,3,0
2512,8508,793,5.45,0.0241,2,0
2512,11463,1238,140.25,0.0241,2,2
2512,11463,4,140.25,0.0241,3,0
2512,11463,1238,140.25,0.0241,2,2
