product_id,purchase_order_id,quantity_arrived,actual_delivery_time
5545,2,500.0000000000,2022-05-24
815,3,639.1000000000,2022-06-01
811,3,1079.9000000000,2022-06-23
815,3,943.6000000000,2022-06-23
6773,4,5000.0000000000,2022-05-24
6758,4,5750.0000000000,2022-05-24
194,6,1045.1000000000,2022-05-31
7902,8,1000.0000000000,2022-05-15
409,9,50.2000000000,2022-06-01
405,9,201.1000000000,2022-06-03
4705,14,10000.0000000000,2022-05-16
4704,14,10000.0000000000,2022-05-17
4707,14,10000.0000000000,2022-07-04
2167,15,485.5000000000,2022-06-10
6613,17,1050.0000000000,2022-05-28
3880,18,45.7000000000,2022-06-11
3906,18,45.7000000000,2022-06-11
6823,21,200.0000000000,2022-06-08
8078,23,5000.0000000000,2022-05-31
8075,23,5000.0000000000,2022-05-31
8074,23,5000.0000000000,2022-05-31
8076,23,5000.0000000000,2022-05-31
8079,23,5000.0000000000,2022-05-31
8166,26,946.4000000000,2022-06-18
8167,29,50.0000000000,2022-05-14
8170,30,5000.0000000000,2022-05-24
8171,31,2.0000000000,2022-05-27
4453,33,1000.0000000000,2022-05-14
4435,33,1000.0000000000,2022-05-14
5958,33,7500.0000000000,2022-05-24
4441,33,5000.0000000000,2022-05-24
5958,33,2500.0000000000,2022-05-25
5954,34,1500.0000000000,2022-05-27
5957,34,2600.0000000000,2022-05-27
5956,34,3000.0000000000,2022-05-27
5956,34,500.0000000000,2022-05-30
8174,35,15000.0000000000,2022-05-18
7824,37,457.2000000000,2022-06-16
3644,38,20.0000000000,2022-05-13
3610,38,20.0000000000,2022-05-13
8224,38,3.0000000000,2022-05-16
3659,38,10.0000000000,2022-05-18
2,39,4572.0000000000,2022-05-24
1235,40,206.1000000000,2022-07-11
1235,40,340.9000000000,2022-07-11
1235,40,381.3000000000,2022-07-11
1235,40,256.8000000000,2022-07-11
1235,40,317.1000000000,2022-07-11
1235,40,75.2000000000,2022-07-11
6598,41,1500.0000000000,2022-05-18
6597,41,2040.0000000000,2022-05-18
6600,41,2500.0000000000,2022-05-18
6599,41,2040.0000000000,2022-07-01
904,42,1739.1000000000,2022-05-19
74,43,1000.0000000000,2022-06-23
4465,44,5000.0000000000,2022-05-27
7540,45,120000.0000000000,2022-07-21
4853,46,1500.0000000000,2022-05-24
4659,46,1000.0000000000,2022-05-24
8241,46,1000.0000000000,2022-05-30
8247,46,1000.0000000000,2022-05-30
8246,46,1000.0000000000,2022-05-30
8242,46,1000.0000000000,2022-05-31
8248,46,800.0000000000,2022-05-31
