Mã đơn hàng,Mã NPL,Mã LSX,SL LSX,Tổng đã xuất
CZ68-220615-Recycle Plastic Visor Blue Navy NEW MICROFIBER and NEW SWEATBAND,1-LUOIMA-BLK-80-CM,PYC-528-CAT,432.91,432.91
CZ68-220615-Recycle Plastic Visor DK-Green MI,1-LUOIMA-BLK-80-CM,PYC-281-CAT,113.9,113.9
CZ68-220615-Recycle Plastic Visor DK-Green NEW MICROFIBER and NEW SWEATBAND,1-LUOIMA-BLK-80-CM,PYC-528-CAT,300.0,300.0
DYC-US-220520-Whico-577-Opt09,1-LUOIMA-BLK-80-CM,PYC-338-CAT,6.2,12.4
DYC-US-220520-Whico-577-Opt13,1-LUOIMA-BLK-80-CM,PYC-338-CAT,6.2,12.4
DYC-US-220520-Whico-577-Opt14,1-LUOIMA-BLK-80-CM,PYC-338-CAT,6.4,12.8
DYC-US-220520-Whico-577-Opt15,1-LUOIMA-BLK-80-CM,PYC-338-CAT,6.4,12.8
DYC-US-220602-HMY-583,1-LUOIMA-BLK-80-CM,PYC-338-CAT,31.44,62.88
DYC-US-220604-Fraser-585,1-LUOIMA-BLK-80-CM,PYC-281-CAT,67.1,134.2
DYC-US-220630-Holman-594-Opt01,1-LUOIMA-BLK-80-CM,PYC-338-CAT,6.1,12.2
DYC-US-220630-Holman-594-Opt02,1-LUOIMA-BLK-80-CM,PYC-338-CAT,6.1,12.2
DYC-US-220723-Intrepid-598-Opt01,1-LUOIMA-BLK-80-CM,PYC-282-PHOI,5.55,11.1
DYC-US-220723-Intrepid-598-Opt02,1-LUOIMA-BLK-80-CM,PYC-338-CAT,6.11,12.22
DYC-US-220723-Intrepid-598-Opt04,1-LUOIMA-BLK-80-CM,PYC-288-PHOI,6.11,12.22
R2B-101-AC2204792 ELCA CLOUD SERVICES,1-LUOIMA-BLK-80-CM,PYC-338-CAT,5.8,5.8
R2B-107-18022985 NASUKO,1-LUOIMA-BLK-80-CM,PYC-281-CAT,6.3,6.3
TTD-220410-PARAPACK BLACK,1-LUOIMA-BLK-80-CM,PYC-67-CAT,7.9,7.9
TTD-220410-PARAPACK LITE BLACK,1-LUOIMA-BLK-80-CM,PYC-67-CAT,7.9,7.9
TTD-220410-PARAPACK LITE CHARCOAL,1-LUOIMA-BLK-80-CM,PYC-67-CAT,5.5,5.5
TTD-220714-ILMC Black Microfiber,1-LUOIMA-BLK-80-CM,PYC-528-CAT,1.52,1.52
CZ68-220615-Recycle Plastic Visor Warm Grey MI,1-LUOIMA-WHI-80-CM,PYC-226-CAT,275.5,275.5
CZ68-220615-Recycle Plastic Visor Warm Grey NEW MICROFIBER and NEW SWEATBAND,1-LUOIMA-WHI-80-CM,PYC-527-CAT,216.61,216.61
DYC-US-220520-Whico-577-Opt07,1-LUOIMA-WHI-80-CM,PYC-226-CAT,6.2,12.4
DYC-US-220520-Whico-577-Opt08,1-LUOIMA-WHI-80-CM,PYC-226-CAT,6.2,12.4
DYC-US-220602-HMY-582,1-LUOIMA-WHI-80-CM,PYC-226-CAT,31.4,62.8
DYC-US-220630-Holman-594-Opt03,1-LUOIMA-WHI-80-CM,PYC-226-CAT,6.1,12.2
DYC-US-220723-Intrepid-598-Opt03,1-LUOIMA-WHI-80-CM,PYC-282-PHOI,6.11,12.22
Infant SunSkipper Bucket-Beach Day-Sea Spray-0-6M,1-LUOIMA-WHI-80-CM,PYC-412-CAT,100.1,100.1
Infant SunSkipper Bucket-Beach Day-Sea Spray-6-12M,1-LUOIMA-WHI-80-CM,PYC-412-CAT,114.11,114.11
Infant SunSkipper Bucket-Lilac Grass Mat-Lilac-0-6M,1-LUOIMA-WHI-80-CM,PYC-412-CAT,70.1,70.1
Infant SunSkipper Bucket-Lilac Grass Mat-Lilac-6-12M,1-LUOIMA-WHI-80-CM,PYC-412-CAT,79.91,79.91
Kids Clear Creek Boonie-Wild River-Royal-L- PO 38050,1-LUOIMA-WHI-80-CM,PYC-390-CAT,125.27,125.27
Kids' Clear Creek Boonie-Rolling Wave-Tan-L- PO 38050,1-LUOIMA-WHI-80-CM,PYC-390-CAT,208.67,208.67
Kids' Clear Creek Boonie-Rolling Wave-Tan-M- PO 38050,1-LUOIMA-WHI-80-CM,PYC-390-CAT,208.67,208.67
Kids' Clear Creek Boonie-Wild River-Royal-M- PO 38050,1-LUOIMA-WHI-80-CM,PYC-390-CAT,100.25,100.25
R2B-104-AC2205896 FONDATION AVENIR,1-LUOIMA-WHI-80-CM,PYC-226-CAT,6.2,6.2
R2B-105-AC2204704 BRINGHEN,1-LUOIMA-WHI-80-CM,PYC-412-CAT,6.1,12.2
R2B-97-AC2204676 MB CONCEPT,1-LUOIMA-WHI-80-CM,PYC-08-CAT,13.65,13.65
Sahara Bucket Hat-Army Cot Green-LXL-PO64,1-LUOIMA-WHI-80-CM,PYC-527-CAT,333.0,333.0
Sahara Bucket Hat-Army Cot Green-LXL-PO64,1-LUOIMA-WHI-80-CM,PYC-583-CAT,146.81,146.81
Sahara Bucket Hat-Army Cot Green-SM-PO64,1-LUOIMA-WHI-80-CM,PYC-583-CAT,378.59,378.59
Sahara Bucket Hat-Cliff Lines Melon Orange-LXL-PO64,1-LUOIMA-WHI-80-CM,PYC-583-CAT,106.0,106.0
Sahara Bucket Hat-Cliff Lines Melon Orange-SM-PO64,1-LUOIMA-WHI-80-CM,PYC-583-CAT,282.91,282.91
TTD-220410-PARAPACK LITE BEIGE,1-LUOIMA-WHI-80-CM,PYC-226-CAT,4.6,4.6
TTD-220410-PARAPACK POOL GREEN,1-LUOIMA-WHI-80-CM,PYC-226-CAT,4.6,4.6
TTD-220509-PARAPACK LITE NAVY MIX,1-LUOIMA-WHI-80-CM,PYC-226-CAT,4.6,4.6
TTD-220714-ILMC White Microfiber,1-LUOIMA-WHI-80-CM,PYC-412-CAT,1.52,1.52
TTD-220721-PARAPACK BLACK,1-LUOIMA-WHI-80-CM,PYC-412-CAT,7.86,7.86
TTD-220721-PARAPACK LITE BEIGE,1-LUOIMA-WHI-80-CM,PYC-412-CAT,4.49,4.49
